epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,127.938,1.47756,3.36601,1.70496,0.45119,0.42704,0.42146,0.23165,1.58369,2.15509,1.87821,0.00998745,0.00332915,0.00998745,0.00332915,0.00998745,0.00332915,0.00998745,0.00332915
2,252.442,1.50563,2.56897,1.69041,0.48085,0.3866,0.40087,0.20728,1.74795,2.36166,2.07284,0.0198885,0.00662951,0.0198885,0.00662951,0.0198885,0.00662951,0.0198885,0.00662951
3,358.282,1.56811,2.56117,1.73875,0.40055,0.33239,0.29559,0.14044,1.86039,2.44081,2.16497,0.0296906,0.00989686,0.0296906,0.00989686,0.0296906,0.00989686,0.0296906,0.00989686
4,459.37,1.60646,2.46523,1.74636,0.50955,0.4417,0.42927,0.22618,1.76082,2.11087,2.05388,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,550.96,1.55771,2.26377,1.71085,0.50735,0.46355,0.44826,0.23786,1.72101,2.11325,2.01636,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,640.076,1.51699,2.10859,1.68194,0.61819,0.5179,0.56128,0.31246,1.63289,1.70925,1.93979,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,734.255,1.49993,2.01148,1.66398,0.65203,0.56033,0.59879,0.33261,1.60444,1.61909,1.88947,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,824.902,1.4709,1.92523,1.64364,0.68258,0.56421,0.6145,0.34852,1.60038,1.56196,1.87437,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,914.995,1.46473,1.84655,1.62846,0.65506,0.60857,0.62914,0.3447,1.63582,1.5266,1.9071,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1006.61,1.44002,1.78151,1.61079,0.68151,0.58391,0.62642,0.36025,1.55816,1.50692,1.85163,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,1098.23,1.42396,1.74467,1.6059,0.66818,0.62218,0.64912,0.36619,1.57297,1.4604,1.85259,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,1188.75,1.41847,1.70218,1.59531,0.73585,0.62513,0.67311,0.3809,1.56267,1.36586,1.84677,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,1279.65,1.4068,1.68121,1.58811,0.72394,0.61163,0.66541,0.3783,1.55117,1.39301,1.83386,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,1371.04,1.40174,1.63467,1.57698,0.73987,0.63134,0.68965,0.40159,1.53019,1.28207,1.80774,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,1462.46,1.38478,1.60035,1.5636,0.72702,0.66599,0.70276,0.41393,1.50693,1.26494,1.77832,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,1555.12,1.37696,1.56437,1.55933,0.75711,0.63924,0.6973,0.40569,1.53951,1.27194,1.80944,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,1646.64,1.366,1.53558,1.5455,0.77536,0.66794,0.7283,0.4277,1.50193,1.17215,1.76685,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
18,1738.3,1.36191,1.51211,1.54528,0.75721,0.67998,0.72565,0.43566,1.46596,1.18752,1.74803,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
19,1829.65,1.35276,1.50766,1.54434,0.77183,0.67533,0.71987,0.42895,1.48297,1.20701,1.76461,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
20,1920.23,1.35017,1.47815,1.53716,0.79918,0.67576,0.73101,0.42934,1.47546,1.18244,1.74857,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
21,2010.25,1.34136,1.46256,1.53213,0.78017,0.66844,0.72758,0.43408,1.46944,1.19001,1.73643,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
22,2100.96,1.33134,1.44111,1.52391,0.79082,0.68195,0.73989,0.43951,1.47232,1.12837,1.73808,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
23,2191.22,1.32814,1.41351,1.51675,0.80292,0.697,0.74862,0.44812,1.43956,1.12955,1.72213,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
24,2281.34,1.33081,1.40387,1.51556,0.77046,0.70459,0.74739,0.45162,1.45144,1.11889,1.72845,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615,0.0265845,0.0088615
25,2370.61,1.31482,1.38893,1.51445,0.8047,0.69582,0.75807,0.45663,1.44713,1.08972,1.72863,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
26,2461.21,1.31303,1.36445,1.50467,0.7813,0.70768,0.74674,0.44479,1.43928,1.10878,1.71221,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
27,2551.76,1.30205,1.35303,1.49947,0.80554,0.70059,0.75419,0.45482,1.44982,1.08773,1.71913,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
28,2641.43,1.29579,1.33678,1.49776,0.78939,0.69007,0.74909,0.45543,1.43772,1.08959,1.71633,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635,0.0259905,0.0086635
29,2730.47,1.29397,1.31899,1.48802,0.80489,0.71377,0.76097,0.45988,1.45243,1.06259,1.71112,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
30,2821.17,1.29338,1.31378,1.49208,0.80621,0.70859,0.76398,0.45999,1.44106,1.07114,1.71003,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645,0.0256935,0.0085645
31,2911.55,1.29471,1.3062,1.49082,0.82975,0.71126,0.77016,0.4666,1.43112,1.0587,1.70264,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
32,3001.45,1.28445,1.28422,1.48681,0.82525,0.70771,0.7678,0.46743,1.43846,1.06161,1.70464,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655,0.0253965,0.0084655
33,3103.04,1.29015,1.29188,1.48238,0.84449,0.69668,0.7646,0.46799,1.43199,1.03344,1.70158,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
34,3195.01,1.2699,1.2644,1.47265,0.82007,0.7136,0.77,0.47134,1.42514,1.034,1.70059,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665,0.0250995,0.0083665
35,3286.06,1.27519,1.25986,1.47643,0.82834,0.72079,0.77918,0.47712,1.41375,1.02629,1.69071,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
36,3376.4,1.26682,1.23882,1.46831,0.84095,0.72013,0.7835,0.4804,1.40002,1.01129,1.67711,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
37,3465.57,1.26683,1.23693,1.46758,0.81533,0.73277,0.78035,0.47778,1.40786,1.00864,1.67182,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
38,3555.71,1.26142,1.23652,1.46475,0.85132,0.72433,0.77741,0.47654,1.40704,1.01083,1.68411,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685,0.0245055,0.0081685
39,3653.22,1.25841,1.23679,1.465,0.79469,0.72679,0.7695,0.47246,1.4047,1.0293,1.68151,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
40,3760.85,1.25689,1.20531,1.45508,0.81842,0.71709,0.77186,0.47135,1.41883,1.02027,1.68499,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695,0.0242085,0.0080695
41,3874.63,1.25221,1.21166,1.45767,0.83011,0.73046,0.7778,0.47525,1.41847,1.00374,1.68722,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
42,3994.13,1.24338,1.19969,1.44833,0.82228,0.729,0.78111,0.48048,1.40824,0.98656,1.68144,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705,0.0239115,0.0079705
43,4117.67,1.24106,1.18933,1.44709,0.82236,0.72969,0.7766,0.48141,1.41722,0.99946,1.68969,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
44,4243.76,1.24029,1.17172,1.44619,0.83537,0.72519,0.7851,0.47881,1.42134,0.98231,1.6961,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715,0.0236145,0.0078715
45,4368.54,1.23751,1.17737,1.4418,0.82817,0.74058,0.78253,0.47952,1.41666,0.98266,1.69052,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
46,4491.88,1.24123,1.16684,1.44648,0.80197,0.7458,0.78361,0.48624,1.40975,0.9732,1.68299,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
47,4614.58,1.23214,1.15002,1.43742,0.8202,0.72917,0.7849,0.48527,1.42124,0.9784,1.68549,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
48,4737.44,1.22456,1.16062,1.43485,0.82302,0.73134,0.78272,0.48209,1.41946,0.98361,1.68491,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735,0.0230205,0.0076735
49,4859.1,1.23012,1.14952,1.43674,0.85274,0.7263,0.78591,0.48078,1.41227,0.97571,1.68238,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
50,4982.94,1.22403,1.14434,1.43434,0.84485,0.72765,0.78771,0.48317,1.41239,0.9773,1.68202,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745,0.0227235,0.0075745
51,5108.58,1.22018,1.14512,1.4306,0.82937,0.73773,0.79116,0.48529,1.41355,0.97047,1.68284,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
52,5232.11,1.21952,1.12535,1.42998,0.83718,0.7266,0.78745,0.48513,1.40906,0.9643,1.67693,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755,0.0224265,0.0074755
53,5356.84,1.20922,1.12256,1.42044,0.85625,0.71478,0.78682,0.48529,1.40837,0.96646,1.67225,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
54,5481.38,1.20544,1.11855,1.42579,0.82293,0.73877,0.78827,0.48633,1.40899,0.96644,1.67626,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765,0.0221295,0.0073765
55,5604.99,1.20569,1.11798,1.42395,0.82021,0.73058,0.78207,0.48519,1.41154,0.96696,1.68181,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
56,5729.29,1.21319,1.11283,1.42467,0.82296,0.74434,0.78435,0.48533,1.41372,0.96314,1.68555,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
57,5854.99,1.20705,1.10054,1.41539,0.84427,0.72666,0.7865,0.48708,1.41223,0.95981,1.68217,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
58,5976.08,1.20211,1.09348,1.41538,0.8387,0.73736,0.789,0.48809,1.41267,0.95943,1.68061,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785,0.0215355,0.0071785
59,6099.34,1.1944,1.0913,1.40796,0.85388,0.72646,0.78947,0.48902,1.40729,0.95818,1.67387,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
60,6223.87,1.18987,1.07367,1.408,0.84901,0.72586,0.78925,0.48958,1.40933,0.96304,1.67797,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795,0.0212385,0.0070795
61,6345.66,1.19478,1.07168,1.40733,0.83316,0.74199,0.78797,0.48845,1.40834,0.95785,1.67763,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
62,6470.02,1.18648,1.07064,1.4028,0.84159,0.73766,0.78969,0.48959,1.40761,0.95495,1.6771,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805,0.0209415,0.0069805
63,6595.32,1.17701,1.05345,1.39908,0.86035,0.73182,0.79119,0.48917,1.41071,0.95006,1.67924,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
64,6717.92,1.17909,1.06671,1.40137,0.83816,0.7434,0.79335,0.48916,1.41129,0.95042,1.68258,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815,0.0206445,0.0068815
65,6844.1,1.17397,1.0524,1.39655,0.85424,0.73436,0.79328,0.49171,1.40799,0.94684,1.68276,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
66,6970.63,1.17849,1.06301,1.40037,0.85122,0.73536,0.79337,0.48865,1.40514,0.94752,1.68236,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
67,7092.2,1.17052,1.05146,1.39081,0.85823,0.72704,0.79269,0.48854,1.40991,0.9487,1.68868,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
68,7214.45,1.16839,1.04501,1.39331,0.84571,0.73793,0.79388,0.4882,1.41326,0.94973,1.69276,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835,0.0200505,0.0066835
69,7336.33,1.15623,1.03503,1.38219,0.84759,0.73926,0.79223,0.48773,1.40962,0.94776,1.68947,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
70,7455.15,1.16306,1.0388,1.38537,0.84938,0.73679,0.79429,0.49004,1.40821,0.94598,1.6894,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,7576.33,1.15863,1.02501,1.38371,0.85402,0.73321,0.79395,0.49096,1.40788,0.94706,1.68915,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,7695.55,1.16155,1.02661,1.38379,0.85518,0.73283,0.79342,0.48971,1.40833,0.94901,1.69066,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,7818.85,1.15522,1.01867,1.37913,0.82997,0.74989,0.79353,0.49086,1.41043,0.95038,1.69377,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,7945.36,1.15661,1.01111,1.37283,0.8433,0.74224,0.79483,0.49051,1.41046,0.95169,1.69383,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,8068.44,1.14952,1.02005,1.37986,0.83542,0.74444,0.79414,0.49127,1.40909,0.94712,1.6937,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,8189.25,1.14511,1.01519,1.3748,0.84176,0.74407,0.79453,0.49193,1.41066,0.94497,1.69573,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,8315.1,1.14379,1.00836,1.37457,0.8455,0.74532,0.7958,0.49157,1.41044,0.94435,1.69711,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,8436.26,1.13616,0.99454,1.36631,0.84372,0.74536,0.79434,0.492,1.40949,0.94177,1.69817,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,8558.72,1.14208,0.99972,1.37228,0.83831,0.74933,0.79428,0.49125,1.41046,0.94338,1.70023,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,8679.65,1.13858,0.99652,1.36832,0.8385,0.74611,0.79371,0.49088,1.41099,0.94092,1.70128,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,8806.02,1.13137,0.98728,1.36344,0.84181,0.74771,0.79394,0.49046,1.41117,0.94306,1.70246,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,8931.07,1.13539,0.98919,1.3673,0.83865,0.74971,0.79384,0.49028,1.41242,0.94258,1.7047,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,9054.97,1.12553,0.98278,1.3608,0.84695,0.74335,0.7942,0.48971,1.4113,0.94242,1.70566,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,9178.43,1.12708,0.97659,1.35814,0.84217,0.74793,0.79435,0.48996,1.41261,0.94372,1.70822,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,9302.44,1.12712,0.97337,1.36169,0.83808,0.74763,0.79356,0.4903,1.41265,0.94331,1.70882,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,9426.57,1.11922,0.96327,1.35601,0.83965,0.74584,0.79367,0.48988,1.41287,0.94437,1.70943,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,9548.01,1.12712,0.96576,1.35667,0.83764,0.74827,0.79329,0.48887,1.41281,0.9443,1.70992,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,9671.72,1.12228,0.96514,1.35202,0.83717,0.74632,0.7904,0.48857,1.41254,0.94427,1.71071,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,9796.02,1.11641,0.95127,1.35238,0.83608,0.74699,0.78991,0.48869,1.41285,0.94359,1.71132,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
90,9917.8,1.10866,0.95497,1.35033,0.8383,0.74356,0.78964,0.4879,1.41421,0.94347,1.71287,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945,0.0167835,0.0055945
91,10041.1,1.11592,0.95773,1.34906,0.83972,0.7455,0.79134,0.48838,1.41405,0.94141,1.71351,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
92,10164.9,1.10267,0.94696,1.34373,0.83555,0.74943,0.79285,0.48797,1.41476,0.94036,1.71426,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955,0.0164865,0.0054955
93,10285,1.109,0.94488,1.34678,0.83428,0.74985,0.79297,0.48754,1.41516,0.93965,1.71494,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
